ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
105,0.42,8.47,0.51,7.61,6.45,2.17,8.41,0.71,4.33,1.05,6.37,2.28,2.25,1.8,3.9,0.19,4.99
106,0.36,3.49,1.5,4.86,4.79,2.79,3.82,2.55,2.86,0.48,3.93,2.91,2.18,1.02,1.81,1.64,2.77
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,11.27,17.3,11.8,28.73,22.46,11.78,20.21,15.28,27.03,9.39,15.63,25.9,23.58,15.82,23.55,1.78,17.78
109,14.65,18.05,15.61,26.55,24.61,18.12,26.55,20.68,40.12,8.32,24.49,24.86,16.69,22.15,23.1,0.38,19.49
110,120.75,125.09,82.44,173.63,157.73,89.05,149.98,111.84,216.09,34.97,133.63,152.5,104.39,124.89,135.24,15.65,144.66
111,6.93,9.27,2.08,12.55,9.68,3.89,8.31,8.99,16.25,0,12.27,8.05,7.96,1.04,5.86,0.43,11.34
112,20.29,17.39,10.25,22.96,21.64,12.85,22.17,16.24,26.52,1.29,18.82,16.85,7.19,13.07,13.21,3.62,22.11
113,137.99,128.34,45.48,123.21,120.75,75.04,138.57,121.51,129.86,10.56,155.33,106.3,20.12,66.4,47.37,28.83,156.66
114,324.64,297.19,87.91,281.56,277.3,162.19,298.95,290.79,250.58,3.7,329.86,221.52,43.29,133.44,116.47,58.25,341.81
115,329.75,320.47,113.06,319.78,285.55,168.37,316.03,260.15,269.76,8.47,319.02,229.61,53.06,163.8,133.36,43.12,336.68
116,419.47,339.64,159.28,374.72,350.65,214.41,385.93,267.31,371.88,5.67,362.47,296.81,88.93,202.72,170.91,23.9,328.23
117,303.78,235.8,130.13,292.62,250.86,168.46,313.17,186.03,294.57,10.19,253.95,224.2,98.53,168.32,154.46,6.3,220.68
118,0.04,5.18,1.66,5.97,5.05,3.27,2.76,5.15,3.35,0.72,4.81,3.41,5.03,0.88,6.08,0,4.2
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3.44,6.99,4.85,12.37,7.35,2.45,7.26,4.21,4.88,6.36,7.37,12.57,11.61,5.55,10.43,0.9,5.78
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4.36,5.01,2.49,7,4.82,3.58,3.72,4.24,4.96,0.21,4.79,5.1,3.65,3.69,5.48,1.74,4.29
130,40.58,35.6,29.35,55.7,51.69,27.3,44.89,34.21,63.44,21.06,38.8,56.7,40.74,45.4,47.54,2.28,44.87
131,13.82,9.66,6.58,13.99,13.93,8.93,15.46,9.43,21.43,4.34,16.33,13.6,3.68,10.97,6.75,0.19,10.92
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,6.77,5.59,2.57,5.35,6.74,3.27,5.46,6.2,6.22,0,6.95,3.55,0.76,2.29,3.02,0,7.45
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,242.31,231.35,74.89,243.5,203.2,122.18,241.86,188.97,199.49,7.11,244.04,174.56,48.33,115.06,91.75,23.38,221.5
136,284.34,246.52,113.13,275.36,238.86,155.84,304.5,204.43,273.41,11.03,281.55,228.74,72.03,152.93,116.5,12.74,220.04
137,247.24,204.67,114.58,238.43,217.34,148.32,286.67,168.68,252.34,12.14,236.31,204.03,87.31,148.15,130.03,3.66,183.82
138,210.97,165.45,107.6,229.1,182.76,139.69,263.72,139.38,237.19,12.42,201.63,191.02,88.99,122.24,113.12,0,149.66
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,11.84,14.67,12.28,26.56,23.72,8,13.76,9.23,17.33,23.38,13.99,22.92,25.61,10.46,27.83,3.35,15.99
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,18.69,21.08,17.08,33.96,29.44,17.03,23.08,17.46,21.14,22.58,13.4,32.47,32.97,25.56,36.54,5.91,20.7
148,0.65,1.93,0,3.22,1.49,0,2.42,0,2.46,0,1.93,0.8,4.63,1.02,2.87,0,1.44
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,67.61,62.77,33.65,71.53,64.27,39.84,74.44,58.22,70.25,14.65,72.14,63.8,29.41,44.54,36.47,13.69,74.59
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,225.94,216.82,77.56,239.14,198.52,126.42,259.75,185.89,210.06,2.9,239.82,193.55,64.71,121.84,97.23,9.97,180.26
157,233.83,216.6,87.69,234.88,204.74,135.04,283.82,188.15,236.61,2.33,247.9,207.49,77.26,136.91,110.42,1.12,185.13
158,155.31,137.25,63.83,173.08,125.72,96.61,200.88,117.22,187.58,4.84,174.67,145.48,80.23,79.94,87.53,0.14,131.4
159,121.65,96.47,100.78,143.18,80.23,79.56,197.07,107.87,168.46,47.95,177.63,169.6,51.08,111.63,60.61,0.79,62.17
160,107.88,83.99,85.37,129.62,68.91,77.05,189.48,86.47,152.83,34.8,158.45,152.61,56.77,99.68,66.41,0,62.9
161,1.09,4.03,7.08,6.02,5.25,2.42,3.77,4.44,4.68,3.71,3.32,5.28,4.52,5.33,9.13,1.49,1.88
162,1.04,3.65,6.23,6.02,5.29,1.85,3.13,4.41,4.38,3.63,3.62,4.82,4.57,5.37,9,1.14,1.66
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0.9,1.71,1.45,3.24,4.96,1.29,2.43,0.25,3.4,2.22,3.87,3.81,0.86,0.94,0.2,0.38,0.21
167,5.03,5.08,3.2,9.6,7.55,4.92,6.2,3.62,5.37,6.19,5.38,9.05,7.34,2.53,7.88,1.59,3.81
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,36.8,42.9,50.49,88.53,77.59,40.89,63.28,50.34,61.18,47.17,53.09,79.6,85.08,96.5,96.89,10.36,41.34
171,0.18,0.86,0.38,2.98,2.93,0.91,2.38,0,1.44,0,1.51,0.89,2.3,1.11,2.93,0,1.7
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1.07,1.04,0.29,3.62,1.9,1.2,1.96,1.03,2.62,0,2.46,1.92,3.63,0,0.63,0,1.46
176,100.57,92.24,58.27,117.33,107.08,59.08,118.82,86.69,111.57,31.44,111.58,100.4,66.07,82.46,68.69,21.77,113.29
177,61.86,60.78,27.2,72.96,61.91,46.42,84.32,57.99,69.29,2.02,71.9,65.68,30.52,35.2,31.35,0,44.48
178,58.3,56.18,30.99,62.65,59.02,40.1,70.99,47.62,59.57,2.84,59.03,54.46,20.75,35.84,29.84,0.42,42.31
179,192.8,180.33,90.7,201.84,176.12,139.33,251.09,159.74,204.65,14.79,211.66,195.67,100.15,129.08,101.2,1.8,152.55
180,196.32,175.7,96.77,199.36,158.78,142.57,266.45,154.49,210.04,10.7,220.58,200.14,95.63,122.01,107.4,0.61,148.29
181,113.11,101.29,82.45,152.3,76.29,90.24,186.52,100.81,155.53,31.94,162.87,150.12,85.53,87.66,74.51,3.2,90.74
182,114.61,96.24,102.79,136.61,72.91,94.2,219.99,103,156.24,31.1,171.29,162.24,77.6,101.13,76.74,0,78.04
183,130.41,103.05,106.28,165,85.83,116.11,244.78,97.77,180.15,21.21,180.8,176.58,103.68,105.98,106.3,0,100.39
184,125.38,102.08,99.66,166.38,84.7,110.54,246.3,92.59,187.09,14.31,176.99,170.03,110.75,97.03,113.6,0,108.85
185,104.79,89.58,92.51,163.15,89.65,102.41,240.47,69.25,184.09,9.12,168.69,161.63,106.71,79.85,119.78,0,111.71
186,85.45,74.4,72.87,138.59,76.77,91.43,211.84,60.95,157.85,13.81,160.59,150.2,90.02,71.01,108.5,0,86.32
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0.07,3.24,0,3.35,1.89,1.82,1.24,1.25,1.51,0,2.05,1.97,3.98,0,3.35,0,1.66
189,12.73,37.57,60.09,59.82,52.44,18.56,38.4,44.45,48.05,41.73,32.87,55.39,50.85,55.39,90.72,9.94,22.6
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,12.13,10.5,19.26,24.61,21.92,10.58,12.29,16.47,18.03,17.51,11.97,27.73,24.81,17.76,30.93,10.44,10.12
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,3.53,4.43,3.1,10.18,8.38,4.07,6.74,4.82,6.54,3.13,5.81,6.37,6.9,9.37,9.12,0,1.44
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,29.75,25.55,16.93,34.03,28.95,18.5,36.59,24.44,29.87,8.23,31.23,25.8,23.9,23.63,17.92,2.22,33.32
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,21.6,25.9,14.26,41.25,23.88,23.67,40.66,26.05,34.09,0.89,36.72,28.41,29.4,14.95,16.39,0.7,26.56
207,57.06,57.35,43.63,88.2,39.87,56.17,120.76,62.86,90.07,12.2,102.93,86.11,66.7,40.16,40.28,0,54.35
208,70.14,51.73,71.97,67.76,19.67,42.69,139.74,70.85,79.1,26.87,114.22,114.38,44.45,67.18,34.87,0,21.41
209,102.64,85.77,125.82,100.2,31.06,73.48,216.79,105.53,118.65,45.39,170.04,173.46,67.95,109.76,61.5,0,50.21
210,101.17,89.37,137.94,97.14,27.99,71.67,227.02,110.07,120.47,53.23,179.82,181.17,69.41,117.94,66.81,0.13,52.36
211,84.06,66.23,102.48,85.08,23.1,54.32,185.56,85.88,102.81,39.35,151.77,150.76,65.02,91.53,60.43,0.04,37.82
212,88.31,84.25,107.22,124.46,48.93,83.79,228.07,88.7,143.31,24.37,166.61,162.71,98.99,90,93.93,0,67.88
213,80.64,91.03,103.8,112.37,45.77,74.39,210.19,84.18,126.04,37.03,166.11,162.89,81.75,95.87,85.54,0,59.27
214,49.82,59.94,79.06,80.45,34.94,53.5,158.9,68.17,89.66,34.39,131.06,138.5,54.9,77.06,62.84,0,29.4
215,8.68,11.44,30.21,17.63,18.34,8.75,15.3,11.9,22.61,28.56,10.39,34.89,28.89,32.01,41.86,14.97,9.75
216,3.52,11.62,14.9,13.32,16.63,9.58,18.81,15.16,21.52,13.22,8.81,16.18,19.13,12.57,20.12,4.57,10.57
