ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2.38,2.23,2.24,4.95,2.89,0.2,0.08,2.17,0.2,2.09,0.24,5.54,0,1.95,0.05,0,1.71,2.46,5.25,1.57,0.36,2.32
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0.81,1.8,1.15,1.34,1.22,1.27,1.62,2.69,1.22,0,2.45,1.52,3.3,2.09,0.8,0,2.22,0.4,1.15,2.3,0.25,4.39
130,57.49,51.14,44.67,68.74,61.18,24.9,35.55,45.4,32.21,25.47,27.94,44.02,25.84,41.45,27.88,14,45.16,35.01,60.95,45.52,30.33,59.68
131,15.76,16.87,14.9,20.41,19.45,6.38,11.35,12.49,8.57,8.09,6.47,14.76,4.03,11.09,6.66,4.94,11.27,9.9,17.59,11.47,6.43,14.75
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,6.28,5.44,3.37,6.94,6.74,0.76,3.23,2.99,0.79,2.53,0.3,4.09,0.69,2.67,1.51,0.76,1.56,1.96,4.36,1.52,1.52,3.81
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,228.62,219.11,168.31,262.58,248.89,82.26,118.34,130.17,102.05,74.18,107.06,141.97,57.64,136.89,73.06,32.28,127.02,100.06,181.98,157.49,70.75,195.46
136,264.03,244.62,195.89,312.58,318.22,98.1,147.62,144.32,104.88,88.19,113.4,163.1,58.85,141.03,52.81,19.93,130.87,107.4,214.01,158.42,58.46,201.75
