ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
203,39.41,35.04,32.06,45.7,44.24,25.59,31.47,34.23,27.59,14.98,29.35,23.9,20.47,24.84,23.15,13.88,31.93,22.15
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,41.72,45.11,36.07,51.82,48.92,24.69,37.08,34.52,24.72,6.45,27.73,26,17.68,16.48,15.9,1.67,27.83,14.78
207,100.02,110.43,99.26,138.02,129.41,53.86,91.97,71.4,50.15,28.73,57.25,78.11,37.63,42.83,27.64,4.91,61.63,42.86
208,116.79,122.27,132.96,156.77,165.45,73.54,109.31,80.93,45.74,59.18,53.91,116.21,25.01,76.46,18.17,6.65,52.42,76.73
209,177.62,191.71,210.61,261.59,261.59,109.24,175.59,134.31,77.72,101.92,92.73,187.64,44.16,128.62,48.13,13.03,90.84,137.32
210,291.2,301.21,333.9,383.4,387.21,180.37,265.19,205.44,151.49,150.27,193.83,257.21,90.16,188.64,76.63,19.17,198.24,207
211,346.51,345.04,371.86,413.7,422.54,206.54,300.73,219.24,191.73,152.45,257.32,258.94,134.8,212.06,98.54,36.81,258,221.98
212,362.11,398.68,414.45,484.21,466.57,232.84,352.57,258.25,228.5,139.97,267.09,267.67,166.45,238.38,164.28,72.03,259.97,267.31
